word_id,old_english,old_portuguese,old_ipa,new_english,new_portuguese,new_ipa,reason
3639,investigar,rɪsərtʃər,researcher,researcher,investigar,rɪsərtʃər,"rotate: english(pt), portuguese(ipa), ipa(en)"
3640,pesquisador,rɪzɛmbləns,resemblance,resemblance,pesquisador,rɪzɛmbləns,"rotate: english(pt), portuguese(ipa), ipa(en)"
3698,cavalgar,raɪdər,rider,rider,cavalgar,raɪdər,"rotate: english(pt), portuguese(ipa), ipa(en)"
3699,viajante,rɪdj,ridge,ridge,viajante,rɪdj,"rotate: english(pt), portuguese(ipa), ipa(en)"
3813,dizer,skeɪl,scale,scale,dizer,skeɪl,"rotate: english(pt), portuguese(ipa), ipa(en)"
3922,completamente,ʃi:t,sheet,sheet,completamente,ʃi:t,"rotate: english(pt), portuguese(ipa), ipa(en)"
4105,sadio,saʊndpru:f,soundproof,soundproof,sadio,saʊndpru:f,"rotate: english(pt), portuguese(ipa), ipa(en)"
4290,subjugar,səbmɪt,submit,submit,subjugar,səbmɪt,"rotate: english(pt), portuguese(ipa), ipa(en)"
4316,combinar,su:t əbəl,suitable,suitable,combinar,su:t əbəl,"rotate: english(pt), portuguese(ipa), ipa(en)"
4499,caminho,θrɛt,threat,threat,caminho,θrɛt,"rotate: english(pt), portuguese(ipa), ipa(en)"
4507,emocionante,θraɪv,thrive,thrive,emocionante,θraɪv,"rotate: english(pt), portuguese(ipa), ipa(en)"
4527,arrumar,taɪ,tie,tie,arrumar,taɪ,"rotate: english(pt), portuguese(ipa), ipa(en)"
4544,pneu,taɪərd,tired,tired,pneu,taɪərd,"rotate: english(pt), portuguese(ipa), ipa(en)"
4545,cansado,taɪərɪñ,tiring,tiring,cansado,taɪərɪñ,"rotate: english(pt), portuguese(ipa), ipa(en)"
4609,publicidade,treɪn,train,train,publicidade,treɪn,"rotate: english(pt), portuguese(ipa), ipa(en)"
4634,processo,traɪæŋgəl,triangle,triangle,processo,traɪæŋgəl,"rotate: english(pt), portuguese(ipa), ipa(en)"
4708,universo,iu:n əvərsəti,university,university,universo,iu:n əvərsəti,"rotate: english(pt), portuguese(ipa), ipa(en)"
4709,universidade,ənnoʊn,unknown,unknown,universidade,ənnoʊn,"rotate: english(pt), portuguese(ipa), ipa(en)"
4853,tecelagem,uɛb,web,web,tecelagem,uɛb,"rotate: english(pt), portuguese(ipa), ipa(en)"
4916,para-brisa,uaɪn,wine,wine,para-brisa,uaɪn,"rotate: english(pt), portuguese(ipa), ipa(en)"
4917,vinho,uɪñ,wing,wing,vinho,uɪñ,"rotate: english(pt), portuguese(ipa), ipa(en)"
4949,pessoa viciada em trabalho,uərkdeɪ,workday,workday,pessoa viciada em trabalho,uərkdeɪ,"rotate: english(pt), portuguese(ipa), ipa(en)"
53,exterior,əbrəpt,abrupt,abrupt,exterior,əbrəpt,"rotate: english(pt), portuguese(ipa), ipa(en)"
447,propaganda,bɪlbord,billboard,billboard,propaganda,bɪlbord,"rotate: english(pt), portuguese(ipa), ipa(en)"
495,board,"prancha, tábua; quadro de avisos",bord,bord,board,"prancha, tábua; quadro de avisos","rotate: english(pt), portuguese(ipa), ipa(en)"
649,cafeteria,keɪdj,cage,cage,cafeteria,keɪdj,"rotate: english(pt), portuguese(ipa), ipa(en)"
790,malagueta,tʃɪl,chill,chill,malagueta,tʃɪl,"rotate: english(pt), portuguese(ipa), ipa(en)"
814,civil,sɪvələzeɪʃən,civilization,civilization,civil,sɪvələzeɪʃən,"rotate: english(pt), portuguese(ipa), ipa(en)"
923,trocar,kɑ:mp ækt,compact,compact,trocar,kɑ:mp ækt,"rotate: english(pt), portuguese(ipa), ipa(en)"
1042,cord,"cordão, fio",kord,kord,cord,"cordão, fio","rotate: english(pt), portuguese(ipa), ipa(en)"
1049,corpse,"cadáver, corpo, defunto",korps,korps,corpse,"cadáver, corpo, defunto","rotate: english(pt), portuguese(ipa), ipa(en)"
1312,diabetes,daɪəgnoʊs,diagnose,diagnose,diabetes,daɪəgnoʊs,"rotate: english(pt), portuguese(ipa), ipa(en)"
1335,digital,dɪgnəfaɪ,dignify,dignify,digital,dɪgnəfaɪ,"rotate: english(pt), portuguese(ipa), ipa(en)"
1925,flauta,flətər,flutter,flutter,flauta,flətər,"rotate: english(pt), portuguese(ipa), ipa(en)"
1956,force,"força, potência; forçar",fors,fors,force,"força, potência; forçar","rotate: english(pt), portuguese(ipa), ipa(en)"
2159,se,greɪn,grain,grain,se,greɪn,"rotate: english(pt), portuguese(ipa), ipa(en)"
2675,local,loʊkeɪt,locate,locate,local,loʊkeɪt,"rotate: english(pt), portuguese(ipa), ipa(en)"
2885,motor,moʊtərsaɪkəl,motorcycle,motorcycle,motor,moʊtərsaɪkəl,"rotate: english(pt), portuguese(ipa), ipa(en)"
3313,porch,"varanda, pátio",portch,portch,porch,"varanda, pátio","rotate: english(pt), portuguese(ipa), ipa(en)"
3989,internet,sɪtɪñ,sitting,sitting,internet,sɪtɪñ,"rotate: english(pt), portuguese(ipa), ipa(en)"
4707,universal,iu:n əvərs,universe,universe,universal,iu:n əvərs,"rotate: english(pt), portuguese(ipa), ipa(en)"
4828,warm,"morno, tépido",uorm,uorm,warm,"morno, tépido","rotate: english(pt), portuguese(ipa), ipa(en)"
4953,worn,particípio passado de wear,uorn,uorn,worn,particípio passado de wear,"rotate: english(pt), portuguese(ipa), ipa(en)"
4997,yours,"seu, sua, do senhor, etc. [no lugar de um substantivo]",iorz,iorz,yours,"seu, sua, do senhor, etc. [no lugar de um substantivo]","rotate: english(pt), portuguese(ipa), ipa(en)"
1044,core,"núcleo, centro",kor,kor,core,"núcleo, centro","rotate: english(pt), portuguese(ipa), ipa(en)"
