id,english,portuguese,level,word_type,definition_en,definition_pt,example_en,example_pt,tags
149,alarm,alarme,A1,noun,"A summons to arms, as on the approach of an enemy.","Uma convocação às armas, como na aproximação de um inimigo.","","",needs_enrichment
158,alley,"beco, viela",A1,noun,"A narrow street or passageway, especially one through the middle of a block giving access to the rear of lots or buildings.","Uma rua ou passagem estreita, especialmente uma que passa pelo meio de um quarteirão, dando acesso à parte de trás de lotes ou edifícios.","","",needs_enrichment
161,allow,permitir,A1,verb,"To grant, give, admit, accord, afford, or yield; to let one have.","Conceder, dar, admitir, acordar, proporcionar ou ceder; permitir que alguém tenha.","","",needs_enrichment
163,alone,"só, sozinho",A1,adjective,"By oneself, solitary.","Sozinho, solitário.","","",needs_enrichment
172,although,embora,A1,conjunction,"Though, even though, in spite of or despite the fact that: introducing a clause that expresses a concession.","Embora, apesar de, apesar do fato de que: introduzindo uma oração que expressa uma concessão.","","","conjunção,needs_enrichment"
177,a.m,antes do meio dia,A1,,,"Ante Meridiem"", que se traduz como ""antes do meio-dia.","que se traduz como """"antes do meio-dia.""",Antes das 12 horas da tarde.,needs_enrichment
180,ambition,surpreendente,A1,noun,"Eager or inordinate desire for some object that confers distinction, as preferment, honor, superiority, political power, or literary fame; desire to distinguish one's self from other people.","Desejo ansioso ou desmedido por algum objeto que confere distinção, como promoção, honra, superioridade, poder político ou fama literária; desejo de se distinguir das outras pessoas.","","",needs_enrichment
183,america,América [do Norte ou do Sul]; os,A1,,,"""America"" é um continente que inclui países como os Estados Unidos e o Brasil. Também pode se referir aos Estados Unidos da América, um país grande na América do Norte.",I live in America and love to eat pizza.,Eu moro na América e adoro comer pizza.,"dict_en_404,needs_enrichment"
184,american,"alguém nascido, criado ou que mora",A1,,,"""American"" é uma palavra que descreve algo ou alguém que vem dos Estados Unidos da América.",She is an American teacher.,Ela é uma professora americana.,"dict_en_404,needs_enrichment"
189,an,"um, uma",A1,determiner,One,Um,"","","artigo,needs_enrichment"
190,analysis,análise,A1,noun,"Decomposition into components in order to study (a complex thing, concept, theory etc.).","Decomposição em componentes para estudar (uma coisa, conceito, teoria etc. complexa).","","",needs_enrichment
195,angel,anjo,A1,noun,"An incorporeal and sometimes divine messenger from a deity, or other divine entity, often depicted in art as a youthful winged figure in flowing robes.","Um mensageiro incorpóreo e às vezes divino de uma divindade ou outra entidade divina, frequentemente retratado na arte como uma figura juvenil alada em túnicas esvoaçantes.","","",needs_enrichment
197,anger,"ira, raiva",A1,noun,"A strong feeling of displeasure, hostility or antagonism towards someone or something, usually combined with an urge to harm.","Um forte sentimento de descontentamento, hostilidade ou antagonismo em relação a alguém ou algo, geralmente combinado com um impulso de prejudicar.","","",needs_enrichment
199,animal,animal,A1,noun,"In scientific usage, a multicellular organism that is usually mobile, whose cells are not encased in a rigid cell wall (distinguishing it from plants and fungi) and which derives energy solely from the consumption of other organisms (distinguishing it from plants).","Em uso científico, um organismo multicelular que geralmente é móvel, cujas células não estão envolvidas em uma parede celular rígida (distinguindo-o de plantas e fungos) e que obtém energia exclusivamente do consumo de outros organismos (distinguindo-o de plantas).","","",needs_enrichment
209,antenna,antena,A1,noun,"A feeler organ on the head of an insect, crab, or other animal.","Um órgão sensorial na cabeça de um inseto, caranguejo ou outro animal.","","",needs_enrichment
211,anticipate,antecipar,A1,verb,"To act before (someone), especially to prevent an action.","Agir antes de (alguém), especialmente para prevenir uma ação.","","",needs_enrichment
212,anxiety,ansiedade,A1,noun,"An unpleasant state of mental uneasiness, nervousness, apprehension and obsession or concern about some uncertain event.","Um estado desagradável de inquietação mental, nervosismo, apreensão e obsessão ou preocupação com algum evento incerto.","","",needs_enrichment
214,any,"algum, qualquer",A1,determiner,"To even the slightest extent, at all.",Nem que seja na menor medida.,"","","determinante,needs_enrichment"
220,apart,separadamente,A1,adjective,"(Used after a noun or in the predicate) Exceptional, distinct.","Excepcional, distinto.","","",needs_enrichment
228,apple,maçã,A1,noun,"A common, round fruit produced by the tree Malus domestica, cultivated in temperate climates.","Uma fruta comum e redonda produzida pela árvore Malus domestica, cultivada em climas temperados.","","",needs_enrichment
240,april,abril,A1,,,"""April"" é o quarto mês do ano. Ele tem 30 dias.",April is the fourth month of the year.,Abril é o quarto mês do ano.,"dict_en_404,needs_enrichment"
242,arabia,Arábia,A1,,,"""Arabia"" é uma região no sudoeste da Ásia, conhecida por seus desertos e cultura árabe.",I want to visit Arabia because it has many deserts and beautiful cities.,"""Eu quero visitar a Arábia porque tem muitos desertos e cidades bonitas.""","dict_en_404,needs_enrichment"
243,arabian,árabe,A1,,,"""Arabian"" significa algo que vem da Arábia ou está relacionado à cultura árabe.",The Arabian horse is fast and strong.,"""O cavalo árabe é rápido e forte.""","dict_en_404,needs_enrichment"
245,architect,arquiteto,A1,noun,"A professional who designs buildings or other structures, or who prepares plans and superintends construction.","Um profissional que projeta edifícios ou outras estruturas, ou que prepara planos e supervisiona a construção.","","",needs_enrichment
246,are,"presente de be usado com you, we,",A1,verb,"An accepted (but deprecated and rarely used) SI unit of area equal to 100 square metres, or a former unit of approximately the same extent. Symbol: a.","Uma unidade SI aceita (mas obsoleta e raramente utilizada) de área igual a 100 metros quadrados, ou uma unidade anterior de aproximadamente a mesma extensão. Símbolo: a.","","","verbo,needs_enrichment"
248,argentina,Argentina,A1,,,,The fans cheered loudly as the Argentina national soccer team took to the field at the World Cup.,Os fãs aplaudiram alto quando a seleção argentina de futebol foi ao campo na Copa do Mundo.,"dict_en_404,needs_enrichment"
252,armor,blindagem,A1,noun,"A protective layer over a body, vehicle, or other object intended to deflect or diffuse damaging forces.","Uma camada protetora sobre um corpo, veículo ou outro objeto destinada a desviar ou difundir forças danosas.","","",needs_enrichment
253,army,exército,A1,noun,"A large, highly organized military force, concerned mainly with ground (rather than air or naval) operations.","Uma grande força militar altamente organizada, preocupada principalmente com operações terrestres (em vez de aéreas ou navais).","","",needs_enrichment
259,arrow,"flecha, seta",A1,noun,"A projectile consisting of a shaft, a point and a tail with stabilizing fins that is shot from a bow.","Um projétil composto por um eixo, uma ponta e uma cauda com estabilizadores que é disparado de um arco.","","",needs_enrichment
260,art,arte,A1,noun,"The conscious production or arrangement of sounds, colours, forms, movements, or other elements in a manner that affects the senses and emotions, usually specifically the production of the beautiful in a graphic or plastic medium.","A produção ou arranjo consciente de sons, cores, formas, movimentos ou outros elementos de uma maneira que afeta os sentidos e as emoções, geralmente especificamente a produção do belo em um meio gráfico ou plástico.","","",needs_enrichment
261,article,artigo,A1,noun,"A piece of nonfictional writing such as a story, report, opinion piece, or entry in a newspaper, magazine, journal, dictionary, encyclopedia, etc.","Um texto de não ficção, como uma história, relatório, artigo de opinião ou entrada em um jornal, revista, diário, dicionário, enciclopédia, etc.","","",needs_enrichment
266,asia,Ásia,A1,,,,I like to read about my friends from Asia.,Gosto de ler sobre meus amigos da Ásia.,"dict_en_404,needs_enrichment"
267,asian,asiático,A1,,,"A palavra ""asian"" significa algo ou alguém que vem da Ásia, um continente que tem muitos países e culturas diferentes.",I have an Asian friend who loves to eat rice.,Eu tenho um amigo asiático que adora comer arroz.,"dict_en_404,needs_enrichment"
271,aspect,"aspecto, aparência",A1,noun,"Any specific feature, part, or element of something.","Qualquer característica, parte ou elemento específico de algo.","","",needs_enrichment
274,assault,"assalto, agressão",A1,noun,"A violent onset or attack with physical means, for example blows, weapons, etc.","Um ataque ou início violento com meios físicos, por exemplo, golpes, armas, etc.","","",needs_enrichment
289,athlete,atleta,A1,noun,"A participant in a group of sporting activities which includes track and field, road running, cross country running and racewalking.","Um participante em um grupo de atividades esportivas que inclui atletismo, corrida de rua, corrida de cross country e marcha atlética.","","",needs_enrichment
290,atlas,atlas,A1,noun,"A bound collection of maps often including tables, illustrations or other text.","Uma coleção encadernada de mapas, frequentemente incluindo tabelas, ilustrações ou outro texto.","","",needs_enrichment
292,atom,átomo,A1,noun,"The smallest possible amount of matter which still retains its identity as a chemical element, now known to consist of a nucleus surrounded by electrons.","A menor quantidade possível de matéria que ainda mantém sua identidade como um elemento químico, agora conhecida por consistir em um núcleo cercado por elétrons.","","",needs_enrichment
294,attach,"anexar, fixar",A1,verb,"To fasten, to join to (literally and figuratively).","Apertar, unir a (literal e figurativamente).","","",needs_enrichment
307,audio,áudio,A1,noun,"A sound, or a sound signal","Um som, ou um sinal sonoro","","",needs_enrichment
309,august,agosto,A1,adjective,"Awe-inspiring, majestic, noble, venerable.","Impressionante, majestoso, nobre, venerável.","","",needs_enrichment
311,australia,Austrália,A1,,,"Austrália é um país grande e uma ilha que fica no Oceano Índico e no Oceano Pacífico. É conhecida por suas paisagens, animais e cultura.",I want to visit Australia next summer.,Eu quero visitar a Austrália no próximo verão.,"dict_en_404,needs_enrichment"
312,australian,australiano,A1,,,"""Australian"" significa algo que vem da Austrália ou que está relacionado com a Austrália.",I have an Australian friend who loves to surf.,Eu tenho um amigo australiano que adora surfar.,"dict_en_404,needs_enrichment"
317,automation,automação,A1,noun,"The act or process of converting the controlling of a machine or device to a more automatic system, such as computer or electronic controls.","O ato ou processo de converter o controle de uma máquina ou dispositivo para um sistema mais automático, como controles computadorizados ou eletrônicos.","","",needs_enrichment
318,automobile,automóvel,A1,noun,"A type of vehicle designed to move on the ground under its own stored power and intended to carry a driver, a small number of additional passengers, and a very limited amount of other load. A car or motorcar.","Um tipo de veículo projetado para se mover no solo com sua própria energia armazenada e destinado a transportar um motorista, um pequeno número de passageiros adicionais e uma quantidade muito limitada de carga. Um carro ou automóvel.","","",needs_enrichment
323,avocado,abacate,A1,noun,"The large, usually yellowish-green or black, pulpy fruit of the avocado tree.","O grande fruto carnoso, geralmente amarelo-esverdeado ou preto, da árvore do abacate.","","",needs_enrichment
332,bachelor,solteiro,A1,noun,"A person, especially a man, who is socially regarded as able to marry, but has not yet.","Uma pessoa, especialmente um homem, que é socialmente considerada capaz de se casar, mas ainda não o fez.","","",needs_enrichment
337,bacon,"fatia fina, salgada e defumada, de toucinho",A1,noun,"Cured meat from the sides, belly or back of a pig.","Carne curada das laterais, barriga ou costas de um porco.","","",needs_enrichment
339,bad,"mau, ruim",A1,noun,"Error, mistake.","Erro, engano.","","",needs_enrichment
341,badly,mal,A1,adjective,"Ill, unwell.","Doente, mal.","","",needs_enrichment
342,bag,"mala, saco, bolsa",A1,noun,"A flexible container made of cloth, paper, plastic, etc.","Um recipiente flexível feito de tecido, papel, plástico, etc.","","",needs_enrichment
344,bail,"fiança, caução [garantia]",A1,noun,"Security, usually a sum of money, exchanged for the release of an arrested person as a guarantee of that person's appearance for trial.","Fiança, geralmente uma quantia em dinheiro, trocada pela liberação de uma pessoa presa como garantia da sua presença no julgamento.","","",needs_enrichment
345,bailout,"fiança, empréstimo emergencial",A1,noun,"A rescue, especially a financial rescue.","Um resgate, especialmente um resgate financeiro.","","",needs_enrichment
346,bait,"isca, chamariz",A1,noun,"Any substance, especially food, used in catching fish, or other animals, by alluring them to a hook, snare, trap, or net.","Qualquer substância, especialmente alimento, usada para capturar peixes ou outros animais, atraindo-os para um anzol, laço, armadilha ou rede.","","",needs_enrichment
348,baker,padeiro,A1,noun,"A person who bakes and sells bread, cakes and similar items.","Uma pessoa que assa e vende pães, bolos e itens semelhantes.","","",needs_enrichment
351,ball,bola; baile,A1,noun,"A solid or hollow sphere, or roughly spherical mass.","Uma esfera sólida ou oca, ou uma massa aproximadamente esférica.","","",needs_enrichment
353,balloon,balão,A1,noun,"An inflatable buoyant object, often (but not necessarily) round and flexible.","Um objeto flutuante inflável, frequentemente (mas não necessariamente) redondo e flexível.","","",needs_enrichment
361,bar,bar,A1,noun,"A solid, more or less rigid object of metal or wood with a uniform cross-section smaller than its length.","Um objeto sólido, mais ou menos rígido, de metal ou madeira, com uma seção transversal uniforme menor que seu comprimento.","","",needs_enrichment
362,barbecue,churrasco,A1,noun,"A fireplace or pit for grilling food, typically used outdoors and traditionally employing hot charcoal as the heating medium.","Uma lareira ou fogueira para grelhar alimentos, tipicamente usada ao ar livre e tradicionalmente utilizando carvão quente como meio de aquecimento.","","",needs_enrichment
373,basically,basicamente,A1,adverb,"In a fundamental, essential or basic manner","De maneira fundamental, essencial ou básica.","","",needs_enrichment
376,basket,"cesto, cesta",A1,noun,"A lightweight container, generally round, open at the top, and tapering toward the bottom.","Um recipiente leve, geralmente redondo, aberto na parte superior e afunilando em direção à parte inferior.","","",needs_enrichment
379,bathe,banhar-se,A1,noun,"The act of swimming or bathing, especially in the sea, a lake, or a river; a swimming bath.","O ato de nadar ou tomar banho, especialmente no mar, em um lago ou em um rio; uma piscina.","","",needs_enrichment
380,bathroom,banheiro,A1,noun,"A room containing a shower and/or bathtub, and (typically but not necessarily) a toilet.","Um banheiro contendo um chuveiro e/ou banheira, e (tipicamente, mas não necessariamente) um vaso sanitário.","","",needs_enrichment
381,battery,bateria,A1,noun,"A device used to power electric devices, consisting of a set of electrically connected electrochemical or, archaically, electrostatic cells. A single such cell when used by itself.","Um dispositivo usado para alimentar dispositivos elétricos, consistindo em um conjunto de células eletroquímicas ou, arcaicamente, células eletrostáticas conectadas eletricamente. Uma única célula desse tipo quando usada sozinha.","","",needs_enrichment
382,battle,batalha,A1,noun,"A contest, a struggle.","Um concurso, uma luta.","","",needs_enrichment
384,be,"ser, estar",A1,verb,,,My mom will be at the school meeting today.,Minha mãe estará na reunião da escola hoje.,"dict_en_404,verbo,needs_enrichment"
385,beach,praia,A1,noun,"The shore of a body of water, especially when sandy or pebbly.","A margem de um corpo d'água, especialmente quando é arenosa ou pedregosa.","","",needs_enrichment
386,beacon,"farol, torre [náutica]",A1,noun,"A signal fire to notify of the approach of an enemy, or to give any notice, commonly of warning.","Uma fogueira de sinal para notificar a aproximação de um inimigo, ou para dar qualquer aviso, comumente de alerta.","","",needs_enrichment
392,beard,barba,A1,noun,"Facial hair on the chin, cheeks, jaw and neck.","Pelos faciais no queixo, bochechas, mandíbula e pescoço.","","",needs_enrichment
399,become,tornar-se [também particípio passado],A1,verb,"To arrive, come (to a place).","Chegar, vir (a um lugar).","","","verbo,needs_enrichment"
400,bed,cama,A1,noun,"A piece of furniture, usually flat and soft, on which to rest or sleep.","Um móvel, geralmente plano e macio, onde se pode descansar ou dormir.","","",needs_enrichment
402,bee,abelha,A1,noun,"A flying insect, of the clade Anthophila within the hymenopteran superfamily Apoidea, known for its organised societies (though only a minority have them), for collecting pollen and (in some species) producing wax and honey.","Um inseto voador, do clado Anthophila dentro da superfamília de himenópteros Apoidea, conhecido por suas sociedades organizadas (embora apenas uma minoria as tenha), por coletar pólen e (em algumas espécies) produzir cera e mel.","","",needs_enrichment
403,beef,"carne de boi, de vaca",A1,noun,"The meat from a cow, bull or other bovine.","A carne de uma vaca, touro ou outro bovino.","","",needs_enrichment
404,been,particípio passado de be,A1,verb,"A flying insect, of the clade Anthophila within the hymenopteran superfamily Apoidea, known for its organised societies (though only a minority have them), for collecting pollen and (in some species) producing wax and honey.","Um inseto voador, do clado Anthophila dentro da superfamília de himenópteros Apoidea, conhecido por suas sociedades organizadas (embora apenas uma minoria as tenha), por coletar pólen e (em algumas espécies) produzir cera e mel.","","","verbo,needs_enrichment"
409,began,passado de begin,A1,verb,"To start, to initiate or take the first step into something.","Para começar, iniciar ou dar o primeiro passo em algo.","","","verbo,needs_enrichment"
412,begun,particípio passado de begin,A1,verb,"To start, to initiate or take the first step into something.","Para começar, iniciar ou dar o primeiro passo em algo.","","","verbo,needs_enrichment"
413,behalf,"interesse, favor, benefício",A1,"benefÃ­cio""",,"""Behalf"" significa agir ou falar por outra pessoa ou em nome dela.",I will speak on behalf of my friend at the meeting.,Eu falarei em nome do meu amigo na reunião.,"dict_en_404,needs_enrichment"
416,behind,atrás de,A1,preposition,"The rear, back-end","A traseira, parte de trás","","","preposição,needs_enrichment"
419,believe,"acreditar, crer",A1,verb,"To accept as true, particularly without absolute certainty (i.e., as opposed to knowing)","Aceitar como verdadeiro, particularmente sem certeza absoluta (ou seja, em oposição a saber)","","","verbo,needs_enrichment"
420,bell,"campainha, sino",A1,noun,"A percussive instrument made of metal or other hard material, typically but not always in the shape of an inverted cup with a flared rim, which resonates when struck.","Um instrumento de percussão feito de metal ou outro material duro, tipicamente, mas nem sempre, na forma de um copo invertido com uma borda alargada, que ressoa quando golpeado.","","",needs_enrichment
422,beloved,"bem-amado, querido",A1,verb,To please.,Para agradar.,Para agradar.,"",needs_enrichment
424,belt,"cinto, cinta",A1,noun,"A band worn around the waist to hold clothing to one's body (usually pants), hold weapons (such as a gun or sword), or serve as a decorative piece of clothing.","Uma faixa usada ao redor da cintura para segurar roupas ao corpo (geralmente calças), segurar armas (como uma arma de fogo ou espada) ou servir como uma peça decorativa de vestuário.","","",needs_enrichment
429,bent,passado e particípio passado de bend,A1,verb,"To cause (something) to change its shape into a curve, by physical force, chemical action, or any other means.","Causar (algo) a mudar sua forma para uma curva, por força física, ação química ou qualquer outro meio.","","",needs_enrichment
430,berry,"qualquer fruta como amora, framboesa,",A1,noun,"A small succulent fruit, of any one of many varieties.","Uma pequena fruta suculenta, de qualquer uma das muitas variedades.","","",needs_enrichment
433,best,melhor [o melhor],A1,adverb,"The supreme effort one can make, or has made.","O esforço supremo que alguém pode fazer, ou já fez.","","","advérbio,needs_enrichment"
437,between,entre [dois],A1,preposition,"A kind of needle, shorter than a sharp, with a small rounded eye, used for making fine stitches on heavy fabrics.","Uma espécie de agulha, mais curta que uma agulha de ponta, com um pequeno olho arredondado, usada para fazer pontos finos em tecidos pesados.","","","preposição,needs_enrichment"
439,beware,"estar alerta, acautelar-se",A1,verb,"(defective) To use caution, pay attention to (used both with and without of).","usar cautela, prestar atenção","","",needs_enrichment
444,bigot,"fanático, intolerante",A1,noun,"One who is narrow-mindedly devoted to one's own ideas and groups, and intolerant of (people of) differing ideas, races, genders, religions, politics, etc.","Aquele que é estreitamente devotado às suas próprias ideias e grupos, e intolerante em relação a ideias, raças, gêneros, religiões, políticas, etc., diferentes.","","",needs_enrichment
448,billion,bilhão,A1,noun,"(modern British & Australian, short scale) a thousand million (logic: 1,000 × 1,000^2): 1 followed by nine zeros, 109; a milliard",um bilhão,"","",needs_enrichment
449,bind,"amarrar, atar, ligar",A1,noun,That which binds or ties.,Aquele que une ou amarra.,"","",needs_enrichment
451,bird,pássaro,A1,noun,"A member of the class of animals Aves in the phylum Chordata, characterized by being warm-blooded, having feathers and wings usually capable of flight, and laying eggs.","Um membro da classe de animais Aves no filo Chordata, caracterizado por ser de sangue quente, ter penas e asas geralmente capazes de voo, e por botar ovos.","","",needs_enrichment
454,biscuit,"biscoito, bolacha",A1,noun,"(rare in the US) A small, flat, baked good which is either hard and crisp or else soft but firm: a cookie.","(breve nos EUA) Um pequeno doce assado, plano, que pode ser duro e crocante ou macio, mas firme: um biscoito.","","",needs_enrichment
455,bishop,bispo,A1,noun,"An overseer of congregations: either any such overseer, generally speaking, or (in Eastern Orthodoxy, Catholicism, Anglicanism, etc.) an official in the church hierarchy (actively or nominally) governing a diocese, supervising the church's priests, deacons, and property in its territory.","Um supervisor de congregações: ou qualquer supervisor desse tipo, de forma geral, ou (na Ortodoxia Oriental, Catolicismo, Anglicanismo, etc.) um oficial na hierarquia da igreja (ativamente ou nominalmente) governando uma diocese, supervisionando os sacerdotes, diáconos e propriedades da igreja em seu território.","","",needs_enrichment
459,bitter,amargo,A1,noun,"(usually in the plural bitters) A liquid or powder, made from bitter herbs, used in mixed drinks or as a tonic.","(geralmente no plural amargos) Um líquido ou pó, feito de ervas amargas, usado em drinques mistos ou como um tônico.","","",needs_enrichment
460,black,preto,A1,noun,"The colour/color perceived in the absence of light, but also when no light is reflected, but rather absorbed.","A cor percebida na ausência de luz, mas também quando nenhuma luz é refletida, mas sim absorvida.","","",needs_enrichment
461,blackboard,"lousa, quadro-negro",A1,noun,"A large flat surface, finished with black slate or a similar material, that can be written upon with chalk and subsequently erased; a chalkboard.","Uma grande superfície plana, acabada com ardósia preta ou um material semelhante, que pode ser escrita com giz e posteriormente apagada; um quadro negro.","","",needs_enrichment
464,blade,lâmina,A1,noun,"The sharp cutting edge of a knife, chisel, or other tool, a razor blade/sword.","A lâmina afiada de uma faca, cinzel ou outra ferramenta, uma lâmina de barbear/espada.","","",needs_enrichment
469,blaze,"chama, labareda",A1,noun,"A fire, especially a fast-burning fire producing a lot of flames and light.","Um fogo, especialmente um fogo de rápida queima que produz muitas chamas e luz.","","",needs_enrichment
472,bleed,sangrar,A1,noun,"An incident of bleeding, as in haemophilia.","Um incidente de sangramento, como na hemofilia.","","",needs_enrichment
474,blender,"liquidificador, misturador",A1,noun,"A machine outfitted with sharp blades, for mashing, crushing or liquefying food ingredients.","Uma máquina equipada com lâminas afiadas, para amassar, triturar ou liquefazer ingredientes alimentares.","","",needs_enrichment
479,block,quarteirão,A1,noun,"A substantial, often approximately cuboid, piece of any substance.","Um pedaço substancial, muitas vezes aproximadamente cúbico, de qualquer substância.","","",needs_enrichment
480,blog,diário publicado na internet,A1,noun,"A website that allows users to reflect, share opinions, and discuss various topics in the form of an online journal, sometimes letting readers comment on their posts. Most blogs are written in a slightly informal tone (personal journals, news, businesses, etc.)","Um site que permite aos usuários refletir, compartilhar opiniões e discutir vários tópicos na forma de um diário online, às vezes permitindo que os leitores comentem em suas postagens. A maioria dos blogs é escrita em um tom ligeiramente informal (diários pessoais, notícias, negócios, etc.)","","",needs_enrichment
481,blond,loiro,A1,noun,"A pale yellowish (golden brown) color, especially said of hair color.","Uma cor amarelo pálido (marrom dourado), especialmente usada para descrever a cor do cabelo.","","",needs_enrichment
482,blonde,loira,A1,noun,"A pale yellowish (golden brown) color, especially said of hair color.","Uma cor amarelo pálido (marrom dourado), especialmente usada para descrever a cor do cabelo.","","",needs_enrichment
487,blouse,blusa,A1,noun,"A shirt, typically loose and reaching from the neck to the waist.","Uma camisa, geralmente solta e que vai do pescoço até a cintura.","","",needs_enrichment
493,blunder,"gafe, disparate, asneira",A1,noun,A clumsy or embarrassing mistake.,Um erro desajeitado ou constrangedor.,"","",needs_enrichment
548,brazilian,brasileiro,A1,adjective,,"""Brazilian"" é uma palavra em inglês que significa algo ou alguém que vem do Brasil.",I have a Brazilian friend who loves football.,Eu tenho um amigo brasileiro que ama futebol.,"needs_enrichment,dict_en_404"
