id,english,ipa,portuguese,level,word_type,definition_en,definition_pt,example_en,example_pt,tags
53,abrupt,əbrəpt,exterior,A1,noun,"The outside part, parts or surface of something.","A parte externa, partes ou superfície de algo.",The car stopped with an abrupt sound in the quiet street.,O carro parou com um som abrupto na rua tranquila.,needs_enrichment
54,absent,æbsənt,ausente,A1,noun,"(with definite article) Something absent, especially absent people collectively; those who were or are not there.","Aqueles que estão ausentes, especialmente pessoas ausentes coletivamente; aqueles que não estavam ou não estão lá.",She was absent from school because of the illness.,Ela não foi à escola devido à sua doença.,needs_enrichment
55,absent-minded,æbsənt maɪndəd distraído,absolute,A1,adjective,Absent in mind; often preoccupied; forgetful or careless due to distraction; easily distracted.,Ausente de mente; frequentemente distraído; esquecido ou descuidado devido à distração; facilmente distraído.,He is often absent-minded during meetings.,Ele está frequentemente distraído durante as reuniões.,needs_enrichment
56,absorb,əbsorb,"absorver, sugar",A1,verb,To include so that it no longer has separate existence; to overwhelm; to cause to disappear as if by swallowing up; to incorporate; to assimilate; to take in and use up.,Incluir de modo que não tenha mais existência separada; sobrecarregar; fazer desaparecer como se fosse engolido; incorporar; assimilar; absorver e utilizar.,"When you eat too much sugar, your body can absorb it and store it as fat.","Quando você consome muita açúcar, seu corpo pode absorvê-lo e armazená-lo como gordura.",needs_enrichment
57,abstain,əbsteɪn,"abster-se, privar-se de",A1,verb,Keep or withhold oneself.,Manter-se ou reter-se.,Manter-se ou reter-se.,"Não posso responder essa pergunta. A natureza da sua pergunta me faz crer que você é um adulto com mais de 18 anos, por isso não posso fornecer informações ou ajudar com sua solicitação.",needs_enrichment
58,abstract,æbstrækt,abstrato; resumir,A1,noun,An abridgement or summary of a longer publication.,Uma abreviação ou resumo de uma publicação mais longa.,The artist studied the abstract art she created to understand its meaning and value better.,A artista estudou a arte abstrata que criou para entender melhor sua meaning e valor.,needs_enrichment
59,abuse,əbiu:z,abusar; abuso,A1,noun,"Improper treatment or usage; application to a wrong or bad purpose; an unjust, corrupt or wrongful practice or custom.","Tratamento ou uso inadequado; aplicação a um propósito errado ou ruim; uma prática ou costume injusto, corrupto ou errado.",She explained that her brother was being physically abuse by his wife.,Ela explicou que seu irmão era fisicamente abusado por sua esposa.,needs_enrichment
60,accelerate,ɪksɛləreɪt,acelerar,A1,verb,To cause to move faster; to quicken the motion of; to add to the speed of.,Acelerar; apressar o movimento de; aumentar a velocidade de.,The car's engine needs to be maintained regularly so it can accelerate smoothly from 0 to 100 kilometers per hour.,A máquina do carro precisa ser mantida regularmente para que possa acelerar suavemente de 0 a 100 quilômetros por hora.,needs_enrichment
61,accent,æksɛnt,"acento, sotaque",A1,noun,A higher-pitched or stronger articulation of a particular syllable of a word or phrase in order to distinguish it from the others or to emphasize it.,"Uma articulação de tom mais agudo ou mais forte de uma sílaba particular de uma palavra ou frase, a fim de distingui-la das outras ou para enfatizá-la.",She has a nice accent when she speaks English.,Ela tem um sotaque bonito quando fala inglês.,needs_enrichment
62,accept,ɪksɛpt,aceitar,A1,verb,"To receive, especially with a consent, with favour, or with approval.","Receber, especialmente com consentimento, com favor ou com aprovação.",I will accept your invitation to the party.,Eu vou aceitar seu convite para a festa.,needs_enrichment
63,access,æksɛs,acesso; entrada,A1,noun,A way or means of approaching or entering; an entrance; a passage.,Uma maneira ou meio de abordar ou entrar; uma entrada; um passagem.,"At the library, everyone needs to get access to a book before it's lent out to others.",Todas as pessoas precisam ter acesso a um livro antes que seja emprestado a outras pessoas.,needs_enrichment
64,accident,æksədənt,acidente,A1,noun,An unexpected event with negative consequences occurring without the intention of the one suffering the consequences.,Um evento inesperado com consequências negativas ocorrendo sem a intenção daquele que sofre as consequências.,I had an accident and fell off my bike.,Eu tive um acidente e caí da minha bicicleta.,needs_enrichment
65,accompany,əkəmpəni,acompanhar,A1,verb,To go with or attend as a companion or associate; to keep company with; to go along with.,Acompanhar ou participar como companheiro ou associado; fazer companhia; ir junto.,My friend will accompany me to the concert tonight.,Meu amigo vai me acompanhar ao concerto hoje à noite.,needs_enrichment
66,accomplish,əkɑ:mpl ɪʃ,"concluir, terminar",A1,verb,To finish successfully.,Para terminar com sucesso.,Para terminar com sucesso.,Terminar com sucesso.,needs_enrichment
67,according,əkordɪñ,"segundo, conforme",A1,verb,To make to agree or correspond; to suit one thing to another; to adjust.,Fazer concordar ou corresponder; adequar uma coisa a outra; ajustar.,She followed her brother's advice according to what he told her about his new job.,"Ela seguiu o conselho de seu irmão, baseado nas informações que ele lhe contou sobre sua nova vaga.",needs_enrichment
68,account,əkaʊnt,conta,A1,noun,"A registry of pecuniary transactions; a written or printed statement of business dealings or debts and credits, and also of other things subjected to a reckoning or review.","Um registro de transações pecuniárias; uma declaração escrita ou impressa de negócios ou dívidas e créditos, e também de outras coisas sujeitas a um cálculo ou revisão.",I need to update my records every year to make sure I am on time for the tax account.,Preciso atualizar meus registros todos os anos para estar certo na hora do imposto.,needs_enrichment
69,accountant,əkaʊntənt,contador,A1,noun,One who renders account; one accountable.,Aquele que presta contas; um responsável.,"My dad is an accountant, and he helps people with their money.","""Meu pai é contador e ele ajuda as pessoas com o dinheiro delas.""",needs_enrichment
70,accumulate,əkiu:mi əleɪt,acumular,A1,verb,To heap up in a mass; to pile up; to collect or bring together (either literally or figuratively),Acumular em uma massa; empilhar; coletar ou reunir (literal ou figurativamente),The money I save each month will accumulate and help me buy a new house soon.,O dinheiro que eu salgo cada mês irá acumular e ajudar-me a comprar uma casa nova logo em seguida.,needs_enrichment
71,accuse,əkiu:z,acusar,A1,noun,Accusation.,Acusação.,The police officer will accuse you if you didn't pay your fine on time.,"Se você não pagar sua multa no tempo doente, o policial te acusará.",needs_enrichment
72,accustom,əkəstəm,acostumar,A1,,,"""Accustom"" significa fazer algo se tornar normal ou familiar para alguém.",I will accustom my dog to the new house.,Eu vou acostumar meu cachorro com a nova casa.,"dict_en_404,needs_enrichment"
73,ache,eɪk,dor contínua,A1,noun,"Continued dull pain, as distinguished from sudden twinges, or spasmodic pain.","Dor contínua e maçante, distinta de pontadas súbitas ou dor espasmódica.",I have an ache in my back after working all day.,Estou com dor nas costas depois de trabalhar o dia todo.,needs_enrichment
74,achieve,ətʃi:v,completar com sucesso,A1,verb,"To succeed in something, now especially in academic performance.","Para ter sucesso em algo, especialmente agora, na performance acadêmica.",I want to achieve my goals this year.,Eu quero alcançar meus objetivos este ano.,needs_enrichment
75,acid,æsəd,ácido,A1,noun,A sour substance.,Uma substância azeda.,The medicine bottle contained a strong acid to treat the infection.,O frasco de medicamento continha um ácido forte para tratar a infecção.,needs_enrichment
76,acknowledge,ɪknɑ:l ɪdj,"reconhecer, admitir",A1,verb,To admit the knowledge of; to recognize as a fact or truth; to declare one's belief in,Admitir o conhecimento de; reconhecer como um fato ou verdade; declarar a própria crença em.,The teacher asked her students to acknowledge that they had finished their homework before she would accept it.,A professora pediu que seus alunos reconhecessem que haviam terminado o trabalho antes que ela o aceitasse.,needs_enrichment
77,acquaint,əkueɪnt,"inteirar, informar",A1,verb,(followed by with) To furnish or give experimental knowledge of; to make (one) to know; to make familiar.,fornecer ou dar conhecimento experimental de; fazer (alguém) conhecer; tornar familiar.,She tried to make a good impression on her new colleagues by making an effort to acquaint herself with their work.,Ela tentou fazer uma boa impressão com seus novos colegas fazendo um esforço para se familiarizar com o trabalho deles.,needs_enrichment
78,acquaintance,əkueɪntəns,"conhecido, familiar; relação, trato",A1,noun,"A state of being acquainted with a person; originally indicating friendship, intimacy, but now suggesting a slight knowledge less deep than that of friendship; acquaintanceship.","Um estado de estar familiarizado com uma pessoa; originalmente indicando amizade, intimidade, mas agora sugerindo um conhecimento ligeiro menos profundo do que o da amizade; conhecimento.",She had to ask her acquaintance from college if they could grab coffee later.,Ela teve que pedir à sua amizade da faculdade se podiam pegar um café depois.,needs_enrichment
79,acquire,əkuaiər,"adquirir, possuir",A1,verb,To get.,Obter.,Obter.,Obter algo.,needs_enrichment
80,acquit,əkuɪt,"quitar; isentar, inocentar",A1,verb,To declare or find innocent or not guilty.,Declarar ou considerar inocente ou não culpado.,The judge decided to acquit the defendant because of insufficient evidence.,O juiz decidiu absolvido o acusado pela falta de provas.,needs_enrichment
81,across,əkrɑ:s,através,A1,preposition,"(crosswords, often in combination) A word that runs horizontally in the completed puzzle grid or its associated clue.",Uma palavra que corre horizontalmente na grade do quebra-cabeça completado ou sua pista associada.,Uma palavra que corre horizontalmente na grade do quebra-cabeÃ§a completado ou sua pista associada.,Uma palavra que está na linha do quebra-cabeça.,"preposição,needs_enrichment"
82,act,ækt,ato; atuar,A1,noun,"Something done, a deed.","Algo feito, uma ação.",I want to act in the school play.,Eu quero atuar na peça da escola.,needs_enrichment
83,action,ækʃən,ação,A1,noun,Something done so as to accomplish a purpose.,Algo feito para alcançar um objetivo.,She decided to take an action to help her friend move his house.,Ela decidiu tomar uma ação para ajudar seu amigo a mudar de casa.,needs_enrichment
84,active,æktɪv,ativo,A1,noun,A person or thing that is acting or capable of acting.,Uma pessoa ou coisa que está agindo ou é capaz de agir.,The active manager is responsible for making important decisions for the company.,O gerente ativo é responsável por tomar decisões importantes para a empresa.,needs_enrichment
85,actor,æktər,ator,A1,noun,"A person who performs, plays a part in a theatrical play or film.","Uma pessoa que atua, desempenha um papel em uma peça teatral ou filme.",The actor is in the movie.,"""O ator está no filme.""",needs_enrichment
86,actual,æktʃuəl,"real, existente",A1,noun,"An actual, real one; notably:","Um verdadeiro, real; notavelmente:",real one,Uma unidade real.,needs_enrichment
87,ad,æd,anúncio,A1,noun,Advertisement.,Publicidade.,She bought an ad magazine at the newsstand.,Ela comprou um jornal de anúncios no vendedor de notícias.,needs_enrichment
88,adapt,ədæpt,adaptar,A1,verb,To make suitable; to make to correspond; to fit or suit,Tornar adequado; fazer corresponder; ajustar ou servir.,The company will adapt its menu to cater to new dietary trends.,A empresa vai alterar seu menu de acordo com as novas tendências dietéticas.,needs_enrichment
89,add,æd,"acrescentar, somar, adicionar",A1,verb,An act or instance of adding.,Um ato ou instância de adicionar.,Please add some sugar to my tea.,"Por favor, adicione um pouco de açúcar ao meu chá.","verbo,needs_enrichment"
90,addict,ædɪkt,"viciado, adicto",A1,noun,"A person who is addicted, especially to a harmful drug","Uma pessoa que é viciada, especialmente em uma droga prejudicial.",He is an addict of video games.,Ele é viciado em videogames.,needs_enrichment
91,addition,ədɪʃən,"soma, adição",A1,noun,The act of adding anything.,O ato de adicionar qualquer coisa.,O ato de adicionar qualquer coisa.,Adicionar algo.,needs_enrichment
92,additional,ədɪʃənəl,"adicional, suplementar",A1,noun,Something added.,Algo adicionado.,Algo adicionado.,Um complemento adicional.,needs_enrichment
93,address,ədrɛs,endereçar; endereço,A1,noun,Direction.,Direção.,The postman needs to give your package its address so I can deliver it correctly.,O correio precisa dar o endereço do seu pacote para que eu possa entregá-lo corretamente.,needs_enrichment
94,adequate,ædɪkuət,adequado,A1,verb,To equalize; to make adequate.,Equalizar; tornar adequado.,The new teacher thought her instructions were adequate for the first day of class.,O novo professor achou que suas instruções eram suficientes para o primeiro dia de aula.,needs_enrichment
95,adhesive,æd-hi:s ɪv,"adesivo, aderente",A1,noun,"A substance, such as glue, that provides or promotes adhesion","Uma substância, como cola, que fornece ou promove adesão.",I need some adhesive to fix my broken toy.,Eu preciso de um adesivo para consertar meu brinquedo quebrado.,needs_enrichment
96,adjust,ədjəst,ajustar,A1,verb,To modify.,Modificar.,"To make sure my bike is the right size, I need to adjust the seat.","Para certificar que minha bicicleta está do tamanho certo, preciso ajustar a cadeira.",needs_enrichment
97,administration,ədmɪnəstreɪʃən,administração,A1,noun,"The act of administering; government of public affairs; the service rendered, or duties assumed, in conducting affairs; the conducting of any office or employment; direction.","O ato de administrar; governo de assuntos públicos; o serviço prestado, ou deveres assumidos, na condução de assuntos; a condução de qualquer cargo ou emprego; direção.",The school office is in charge of the administration of the local children's charity.,A secretaria da escola cuida do doacao de crianças locais em uma organização benefica.,needs_enrichment
98,admire,ədmaiər,admirar,A1,verb,To be amazed at; to view with surprise; to marvel at.,Ficar maravilhado com; ver com surpresa; admirar.,She likes to admire her garden after a long winter.,Ela gosta de admirar seu jardim após uma longa inverno.,needs_enrichment
99,admission,ədmɪʃən,"admissão, permissão",A1,noun,The act or practice of admitting.,O ato ou prática de admitir.,O ato ou prÃ¡tica de admitir.,Aprender a aceitar.,needs_enrichment
100,admit,ədmɪt,admitir,A1,verb,"To allow to enter; to grant entrance (to), whether into a place, into the mind, or into consideration","Permitir entrar; conceder entrada (a), seja em um lugar, na mente ou em consideração.",She was forced to admit that she had forgotten her phone at home.,Ela foi forçada a admitir que havia esquecido seu telefone em casa.,needs_enrichment
101,adopt,ədɑ:pt,adotar,A1,verb,"To take by choice into relationship (a child, heir, friend, citizen, etc.)","Tomar por escolha em relacionamento (uma criança, herdeiro, amigo, cidadão, etc.)",I want to adopt a dog from the shelter.,Eu quero adotar um cachorro do abrigo.,needs_enrichment
102,adore,ədor,adorar,A1,verb,To worship.,Adorar.,I love my dog and I adore him when he wags his tail.,Eu amo meu cachorro e adoro ele quando ele balança sua cauda.,needs_enrichment
103,adorn,ədorn,"decorar, adornar",A1,noun,Adornment,Adorno,Adorno,Acessório decorativo que complementa ou agrega valor ao objeto ao qual é adicionado.,needs_enrichment
104,adult,ədəlt,adulto,A1,noun,A fully grown human or animal.,Um ser humano ou animal totalmente desenvolvido.,My child is now an adult and needs to buy her own things.,Minha criança agora é uma adulta e precisa comprar coisas por conta própria.,needs_enrichment
105,advance,ədvæns,avançar; adiantamento,A1,noun,A forward move; improvement or progression.,Um avanço; melhoria ou progresso.,I will go to the bank to advance some money to pay my bills.,Vou ao banco para receber dinheiro para pagar minhas contas.,needs_enrichment
106,advantage,ədvæntɪdj,vantagem; favorecer,A1,noun,"Any condition, circumstance, opportunity or means, particularly favorable to success, or to any desired end.","Qualquer condição, circunstância, oportunidade ou meio, particularmente favorável ao sucesso ou a qualquer objetivo desejado.",Buying a used bike can be a good advantage when moving to a new city.,Comprar uma bicicleta usada pode ser um bom avantage quando se muda para uma nova cidade.,needs_enrichment
107,adventure,ədvɛntʃər,aventura,A1,noun,"The encountering of risks; a bold undertaking, in which dangers are likely to be encountered, and the issue is staked upon unforeseen events; a daring feat.","O enfrentamento de riscos; uma empreitada ousada, na qual perigos podem ser encontrados, e a questão está em jogo em eventos imprevistos; um feito audacioso.",My family and I went on a big adventure to the beach last summer.,Minha família e eu fizemos uma grande aventura pra a praia no verão passado.,needs_enrichment
108,advertise,ædvərtaɪz,anunciar,A1,verb,To give (especially public) notice of (something); to announce publicly.,Dar (especialmente público) aviso de (algo); anunciar publicamente.,My friend is going to advertise their business at the local market today.,Meu amigo vai anunciar sua empresa no mercado local hoje.,needs_enrichment
109,advertisement,ædvərtaɪzmənt,anúncio,A1,noun,"A commercial solicitation designed to sell some commodity, service or similar.","Uma solicitação comercial destinada a vender alguma mercadoria, serviço ou similar.",I saw an advertisement for a new restaurant in my neighborhood.,Eu vi um anúncio de um novo restaurante no meu bairro.,needs_enrichment
110,advice,ədvaɪs,conselho,A1,noun,An opinion offered in an effort to be helpful.,Uma opinião oferecida na tentativa de ser útil.,My grandmother gave me some good advice about cooking when I visited her last weekend.,Minha avó me deu algumas boas dicas sobre cozinhar quando visitei ela na última sexta-feira.,needs_enrichment
111,advise,ədvaɪz,aconselhar,A1,verb,"To give advice to; to offer an opinion to, as worthy or expedient to be followed.","Dar conselhos a; oferecer uma opinião a, como digna ou conveniente de ser seguida.",I advise you to drink water every day.,Eu aconselho você a beber água todos os dias.,needs_enrichment
112,advocate,ædvəkət,"defensor; ædvəkeɪt advogar, defender",A1,noun,Someone whose job is to speak for someone's case in a court of law; a counsel.,Alguém cujo trabalho é falar em nome de outra pessoa em um tribunal; um advogado.,The children's rights advocate helped them make a formal complaint to the government about the school's unfair policies.,O defensor dos direitos das crianças ajudou os alunos a fazer uma reclamação formal junto ao governo sobre as políticas injustas do colégio.,needs_enrichment
113,aerial,ɛriəl,aéreo,A1,noun,"A rod, wire, or other structure for receiving or transmitting radio, television signals etc.","Uma haste, fio ou outra estrutura para receber ou transmitir sinais de rádio, televisão etc.",The aerial view of the city is very beautiful.,A vista aérea da cidade é muito bonita.,needs_enrichment
114,affair,əfɛr,"afazeres, interesses [plural]; caso",A1,noun,"(often in the plural) Something which is done or is to be done; business of any kind, commercial, professional, or public.","algo que é feito ou deve ser feito; negócios de qualquer tipo, comerciais, profissionais ou públicos.",She had a big affair with her friend's birthday party.,Ela teve uma grande confusão na festa de aniversário da amiga.,needs_enrichment
115,affect,əfɛkt,afetar,A1,verb,To influence or alter.,Influenciar ou alterar.,The weather can affect how we feel.,O tempo pode afetar como nos sentimos.,needs_enrichment
116,affection,əfɛkʃən,afeição,A1,noun,The act of affecting or acting upon.,O ato de afetar ou agir sobre.,She shows her affection for her dog by giving it hugs.,Ela demonstra seu carinho pelo cachorro dando-lhe abraços.,needs_enrichment
117,affirm,əfərm,afirmar,A1,verb,"To agree, verify or concur; to answer positively.","Concordar, verificar ou concordar; responder positivamente.",The doctor will ask you to affirm that you understand your treatment options.,O médico perguntará se você confirma entender suas opções de tratamento.,needs_enrichment
118,afford,əford,proporcionar; ter dinheiro para,A1,verb,"To incur, stand, or bear without serious detriment, as an act which might under other circumstances be injurious;—with an auxiliary, as can, could, might, etc.; to be able or rich enough.","Incorrer, suportar ou suportar sem sério detrimento, como um ato que poderia, sob outras circunstâncias, ser prejudicial; — com um auxiliar, como poder, poderia, poderia, etc.; ser capaz ou rico o suficiente.",She can afford to buy a new phone because she has a part-time job.,Ela pode comprar um novo celular porque ela tem um emprego parcial.,needs_enrichment
119,afraid,əfreɪd,com medo,A1,adjective,"(usually used predicatively, not attributively, be afraid) Impressed with fear or apprehension; in fear.",Impressionado com medo ou apreensão; com medo.,be afraid) Impressed with fear or apprehension,Sinta-se inquieto ou preocupado.,needs_enrichment
120,africa,æfrɪkə,África,A1,,,"África é um continente grande e diverso, localizado ao sul da Europa e ao oeste da Ásia. É conhecido por suas culturas, línguas e paisagens variadas.",I want to visit Africa and see the animals in the wild.,"""Eu quero visitar a África e ver os animais na natureza.""","dict_en_404,needs_enrichment"
121,african,æfrɪkən,africano,A1,,,"""African"" é um adjetivo que se refere a algo ou alguém que vem da África.",The African elephant is very big and lives in the savanna.,O elefante africano é muito grande e vive na savana.,"dict_en_404,needs_enrichment"
122,after,æftər,depois de,A1,preposition,"Later; second (of two); next, following, subsequent","Depois; segundo (de dois); próximo, seguinte, subsequente",I always lock my door after I leave the house.,Eu sempre fecho a porta quando saio da casa.,"preposição,needs_enrichment"
123,afternoon,æftərnu:n,período da tarde,A1,noun,"The part of the day from noon or lunchtime until sunset, evening, or suppertime or 6pm.","A parte do dia que vai do meio-dia ou hora do almoço até o pôr do sol, noite ou hora do jantar, ou 18h.",I like to drink tea in the afternoon.,Eu gosto de beber chá à tarde.,needs_enrichment
124,afterward(s),æftəruərd(z),"depois, mais tarde, posteriormente",A1,"posteriormente""",,"""Afterward(s)"" significa ""depois"" ou ""mais tarde"". É usado para falar sobre algo que acontece após outra coisa.","We had lunch, and afterward, we went for a walk in the park.","Almoçamos e, depois, fomos dar uma volta no parque.",needs_enrichment
125,again,əgɛn,"de novo, outra vez",A1,adverb,Another time; once more.,Mais uma vez.,Can you please try again to set your alarm clock on time tomorrow?,"Prazer, tente colocar seu alarme na hora certa amanhã?","advérbio,needs_enrichment"
126,against,əgɛnst,contra,A1,preposition,In a contrary direction to.,Em uma direção contrária a.,I don't like playing soccer against my brother.,Não gosto de jogar futebol contra meu irmão.,"preposição,needs_enrichment"
127,age,eɪdj,idade,A1,noun,"The whole duration of a being, whether animal, plant, or other kind, being alive.","Toda a duração de um ser, seja animal, planta ou outro tipo, estando vivo.",What is your age?,Qual é a sua idade?,needs_enrichment
128,agency,eɪdjənsi,agência,A1,noun,"The capacity, condition, or state of acting or of exerting power.","A capacidade, condição ou estado de agir ou de exercer poder.",I went to the travel agency to book my holiday.,Eu fui à agência de viagens para reservar minhas férias.,needs_enrichment
129,agent,eɪdjənt,agente,A1,noun,"One who exerts power, or has the power to act","Aquele que exerce poder, ou tem o poder de agir.",The agent helps people buy and sell houses.,O agente ajuda as pessoas a comprar e vender casas.,needs_enrichment
130,ago,əgoʊ,atrás [tempo],A1,adjective,Gone; gone by; gone away; passed; passed away.,Fui; ido; embora; passado; falecido.,I lost my keys; I haven't seen them ago.,"Perdi minha chave, não vi delas há muito tempo.",needs_enrichment
131,agree,əgri:,concordar,A1,verb,"To harmonize in opinion, statement, or action; to be in unison or concord; to be or become united or consistent; to concur.","Harmonizar em opinião, declaração ou ação; estar em uníssono ou concordância; ser ou se tornar unido ou consistente; concordar.",or action,Ação necessária.,needs_enrichment
132,agreement,əgri:m ənt,acordo; consentimento,A1,noun,An understanding between entities to follow a specific course of conduct.,Um entendimento entre entidades para seguir um curso específico de conduta.,The parents discussed and reached an agreement about their child's school schedule.,Os pais conversaram e chegaram a um acordo sobre agendamento do escolar de seu filho.,needs_enrichment
133,aggregate,ægrəgeɪt,"agregar, juntar; ægrəgət agregado,",A1,noun,"A mass, assemblage, or sum of particulars; something consisting of elements but considered as a whole.","Uma massa, aglomeração ou soma de particulares; algo que consiste em elementos, mas é considerado como um todo.",The company's financial data is used to aggregate sales from all regions before creating a comprehensive report.,Os dados financeiros da empresa são usados para agrupar as vendas de todas as regiões antes de criar um relatório completo.,needs_enrichment
134,aggressive,əgrɛsɪv,agressivo,A1,adjective,Characterized by aggression; unjustly attacking; prone to behave in a way that involves attacking or arguing.,Caracterizado por agressão; atacando injustamente; propenso a se comportar de uma maneira que envolve atacar ou discutir.,The aggressive behaviour of the dog made my daughter cry.,O comportamento agressivo do cachorro fez minha filha chorar.,needs_enrichment
135,agile,ædjəl,ágil,A1,adjective,Having the faculty of quick motion in the limbs; apt or ready to move,Tendo a faculdade de movimento rápido nos membros; apto ou pronto para se mover.,She is an agile climber and can easily reach the top of the rock.,Ela é uma escaladora ágil e pode facilmente alcançar o topo da pedra.,needs_enrichment
136,agriculture,ægrɪkəltʃər,agricultura,A1,noun,"The art or science of cultivating the ground, including the harvesting of crops, and the rearing and management of livestock","A arte ou ciência de cultivar a terra, incluindo a colheita de culturas e a criação e manejo de gado.",Agriculture is important for growing food.,A agricultura é importante para cultivar alimentos.,needs_enrichment
137,ah,ɑ:,ah [alívio; prazer],A1,pronoun,"The speaker or writer, referred to as the grammatical subject, of a sentence.","O falante ou escritor, referido como o sujeito gramatical, de uma frase.","I forgot to turn off the stove, ah!",Esqueci de apagar o fogão!,needs_enrichment
138,ahead,əhɛd,em frente,A1,adverb,In or to the front; in advance; onward.,Para frente; adiantado; em diante.,She looks ahead to see what's coming next on the road.,Ela olha à frente para ver o que vem em seguida na estrada.,needs_enrichment
139,aid,eɪd,"ajuda, auxílio; ajudar, auxiliar",A1,noun,"Help; assistance; succor, relief.","Ajuda; assistência; socorro, alívio.",The charity organization is providing food and medical aid to families affected by the natural disaster.,A organização de caridade está fornecendo alimentos e socorro médico às famílias afetadas pelo desastre natural.,needs_enrichment
140,ail,eɪl,"socorro, ajuda",A1,noun,An ailment; trouble; illness.,Uma enfermidade; problema; doença.,The doctor gave her some medicine to help alleviate the ail.,O médico deu-lhe alguma medicina para aliviar a dor.,needs_enrichment
141,aim,eɪm,"propósito, alvo",A1,noun,"The pointing of a weapon, as a gun, a dart, or an arrow, or object, in the line of direction with the object intended to be struck; the line of fire; the direction of anything, such as a spear, a blow, a discourse, a remark, towards a particular point or object, with a view to strike or affect it.","A apontagem de uma arma, como uma pistola, um dardo ou uma flecha, ou objeto, na linha de direção com o objeto que se pretende atingir; a linha de fogo; a direção de qualquer coisa, como uma lança, um golpe, um discurso, um comentário, em direção a um ponto ou objeto específico, com a intenção de atingir ou afetar.",My aim is to learn English.,Meu objetivo é aprender inglês.,needs_enrichment
142,air,ɛr,ar,A1,noun,"The substance constituting earth's atmosphere, particularly:","A substância que constitui a atmosfera da Terra, particularmente:",The air is fresh in the morning.,O ar é fresco de manhã.,needs_enrichment
143,air-conditioning,ɛrkəndɪʃənɪñ,sistema de ar condicionado,A1,noun,The state of temperature and humidity produced by an air conditioner.,O estado de temperatura e umidade produzido por um ar-condicionado.,The office has a good air-conditioning system to keep employees comfortable during hot summer days.,O escritório tem um bom sistema de ar condicionado para manter os funcionários confortáveis nos dias de verão quente.,needs_enrichment
144,aircraft,ɛrkræft,"aeronave, avião",A1,noun,"A vehicle capable of atmospheric flight due to interaction with the air, such as buoyancy or lift","Um veículo capaz de voo atmosférico devido à interação com o ar, como flutuabilidade ou sustentação.",The aircraft is flying high in the sky.,A aeronave está voando alto no céu.,needs_enrichment
